cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
[cel][pop_roc]0006__2.wav,081__[cla][nod][cla]0316__1.wav,[flu][pop_roc]0470__2.wav,[gac][jaz_blu]0598__1.wav,081__[gel][dru][pop_roc]0966__1.wav,[org][pop_roc]1095__1.wav,[pia][jaz_blu]1473__3.wav,025__[sax][nod][cla]1678__2.wav,[tru][cla]1873__2.wav,[vio][jaz_blu]2273__2.wav,209__[voi][nod][cou_fol]2422__1.wav
057__[cel][nod][cla]0036__2.wav,[cla][jaz_blu]0283__2.wav,[flu][cla]0366__2.wav,[gac][pop_roc]0692__2.wav,[gel][pop_roc]0742__3.wav,[org][pop_roc]1260__1.wav,[pia][jaz_blu]1511__1.wav,[sax][jaz_blu]1765__1.wav,[tru][pop_roc]2044__2.wav,[vio][jaz_blu]2238__3.wav,[voi][pop_roc]2354__3.wav
[cel][cla]0075__1.wav,[cla][pop_roc]0288__3.wav,[flu][pop_roc]0482__3.wav,[gac][pop_roc]0627__1.wav,068__[gel][dru][jaz_blu]0807__1.wav,[org][jaz_blu]1194__2.wav,[pia][jaz_blu]1471__2.wav,[sax][pop_roc]1572__1.wav,[tru][cla]1909__2.wav,[vio][jaz_blu]2240__3.wav,[voi][pop_roc]2502__2.wav
056__[cel][nod][cla]0038__1.wav,[cla][jaz_blu]0191__1.wav,[flu][cla]0400__3.wav,187__[gac][nod][pop_roc]0623__2.wav,[gel][pop_roc]0906__3.wav,[org][jaz_blu]1157__3.wav,[pia][jaz_blu]1529__3.wav,[sax][jaz_blu]1640__1.wav,[tru][cla]1903__3.wav,082__[vio][nod][cla]2165__3.wav,234__[voi][dru][cou_fol]2415__2.wav
[cel][pop_roc]0120__2.wav,[cla][jaz_blu]0178__1.wav,[flu][cla]0347__2.wav,[gac][pop_roc]0693__1.wav,[gel][pop_roc]1019__2.wav,[org][jaz_blu]1051__3.wav,[pia][jaz_blu]1474__2.wav,[sax][pop_roc]1629__1.wav,[tru][pop_roc]2038__1.wav,123__[vio][nod][cla]2167__1.wav,102__[voi][dru][cou_fol]2426__2.wav
[cel][cla]0079__3.wav,[cla][cla]0323__2.wav,[flu][jaz_blu]0398__1.wav,[gac][pop_roc]0728__2.wav,[gel][pop_roc]0904__1.wav,[org][pop_roc]1148__3.wav,204__[pia][nod][cla]1401__1.wav,[sax][jaz_blu]1740__3.wav,[tru][jaz_blu]1963__3.wav,[vio][pop_roc]2126__2.wav,052__[voi][nod][cou_fol]2396__3.wav
[cel][cla]0070__2.wav,[cla][cla]0163__2.wav,057__[flu][dru][cou_fol]0407__2.wav,[gac][pop_roc]0611__3.wav,208__[gel][dru][pop_roc]0981__1.wav,[org][jaz_blu]1042__3.wav,[pia][pop_roc]1326__2.wav,036__[sax][nod][cla]1664__3.wav,[tru][jaz_blu]1963__1.wav,[vio][pop_roc]2088__3.wav,118__[voi][nod][cou_fol]2432__3.wav
043__[cel][nod][cla]0029__1.wav,[cla][jaz_blu]0151__3.wav,[flu][pop_roc]0356__3.wav,[gac][pop_roc]0727__2.wav,[gel][jaz_blu]0998__1.wav,[org][jaz_blu]1180__3.wav,[pia][pop_roc]1295__3.wav,[sax][pop_roc]1615__1.wav,055__[tru][dru][jaz_blu]1988__3.wav,100__[vio][nod][cla]2183__2.wav,[voi][jaz_blu]2356__3.wav
132__[cel][nod][cla]0048__3.wav,[cla][cla]0322__3.wav,[flu][cla]0428__3.wav,[gac][pop_roc]0594__3.wav,[gel][pop_roc]0871__3.wav,[org][jaz_blu]1184__1.wav,231__[pia][nod][cla]1408__1.wav,[sax][jaz_blu]1781__2.wav,[tru][pop_roc]1959__1.wav,[vio][pop_roc]2253__2.wav,068__[voi][dru][pop_roc]2464__1.wav
[cel][cla]0068__2.wav,152__[cla][nod][cla]0217__2.wav,150__[flu][dru][cou_fol]0417__1.wav,[gac][jaz_blu]0559__1.wav,[gel][jaz_blu]0905__2.wav,[org][pop_roc]1254__1.wav,[pia][jaz_blu]1529__2.wav,[sax][cla]1642__1.wav,[tru][pop_roc]2049__3.wav,135__[vio][nod][cou_fol]2199__2.wav,199__[voi][nod][cou_fol]2438__3.wav
[cel][pop_roc]0139__2.wav,140__[cla][nod][cla]0241__1.wav,[flu][pop_roc]0364__2.wav,[gac][pop_roc]0723__3.wav,044__[gel][dru][pop_roc]0951__1.wav,[org][jaz_blu]1210__3.wav,064__[pia][dru][jaz_blu]1430__1.wav,[sax][cla]1730__1.wav,[tru][jaz_blu]1974__3.wav,001__[vio][nod][cou_fol]2194__2.wav,004__[voi][nod][pop_roc]2332__2.wav
[cel][pop_roc]0018__3.wav,112__[cla][nod][cla]0243__2.wav,[flu][pop_roc]0372__2.wav,[gac][pop_roc]0693__2.wav,096__[gel][dru][pop_roc]0838__3.wav,[org][jaz_blu]1211__2.wav,112__[pia][nod][cla]1392__1.wav,181__[sax][nod][cla]1660__2.wav,[tru][pop_roc]2050__3.wav,[vio][pop_roc]2269__2.wav,134__[voi][dru][lat_sou]2286__2.wav
120__[cel][nod][cla]0030__3.wav,[cla][pop_roc]0289__1.wav,160__[flu][dru][pop_roc]0422__2.wav,[gac][pop_roc]0692__1.wav,[gel][pop_roc]1020__1.wav,[org][pop_roc]1222__3.wav,[pia][cla]1355__2.wav,[sax][cla]1602__2.wav,[tru][cla]1886__1.wav,[vio][pop_roc]2252__2.wav,043__[voi][dru][pop_roc]2476__2.wav
071__[cel][nod][cla]0053__1.wav,[cla][cla]0259__3.wav,[flu][cla]0353__3.wav,[gac][jaz_blu]0566__1.wav,250__[gel][dru][pop_roc]0960__2.wav,[org][pop_roc]1224__2.wav,[pia][jaz_blu]1329__1.wav,123__[sax][dru][jaz_blu]1719__3.wav,[tru][cla]2034__3.wav,074__[vio][nod][cla]2159__3.wav,[voi][pop_roc]2342__2.wav
[cel][cla]0105__2.wav,[cla][cla]0162__1.wav,[flu][jaz_blu]0405__3.wav,[gac][cla]0609__2.wav,048__[gel][dru][pop_roc]0929__2.wav,[org][jaz_blu]1110__2.wav,118__[pia][dru][jaz_blu]1429__3.wav,126__[sax][nod][cla]1667__1.wav,[tru][cla]2055__1.wav,[vio][jaz_blu]2117__3.wav,[voi][jaz_blu]2482__2.wav
132__[cel][nod][cla]0048__1.wav,[cla][pop_roc]0194__1.wav,[flu][cla]0426__1.wav,[gac][pop_roc]0733__3.wav,079__[gel][dru][pop_roc]0958__2.wav,[org][jaz_blu]1268__1.wav,[pia][jaz_blu]1354__1.wav,058__[sax][nod][cla]1662__3.wav,[tru][jaz_blu]1956__1.wav,[vio][cla]2211__1.wav,[voi][pop_roc]2533__3.wav
031__[cel][nod][cla]0020__1.wav,[cla][cla]0159__1.wav,[flu][cla]0346__2.wav,[gac][jaz_blu]0559__3.wav,050__[gel][dru][pop_roc]0860__2.wav,[org][jaz_blu]1170__2.wav,[pia][jaz_blu]1482__3.wav,[sax][cla]1754__3.wav,[tru][jaz_blu]1915__3.wav,[vio][jaz_blu]2261__2.wav,189__[voi][dru][pop_roc]2290__2.wav
[cel][cla]0115__2.wav,[cla][pop_roc]0298__3.wav,[flu][cla]0353__2.wav,[gac][pop_roc]0699__2.wav,[gel][cla]0901__1.wav,[org][jaz_blu]1204__3.wav,212__[pia][nod][cla]1397__2.wav,[sax][cla]1593__1.wav,051__[tru][nod][jaz_blu]1989__3.wav,[vio][pop_roc]2274__2.wav,075__[voi][dru][pop_roc]2329__2.wav
101__[cel][nod][cla]0054__1.wav,[cla][pop_roc]0203__2.wav,[flu][jaz_blu]0448__2.wav,[gac][pop_roc]0686__2.wav,[gel][pop_roc]0926__1.wav,[org][jaz_blu]1040__1.wav,[pia][jaz_blu]1469__3.wav,065__[sax][nod][cla]1672__2.wav,[tru][cla]2014__2.wav,[vio][cla]2212__1.wav,199__[voi][nod][cou_fol]2438__2.wav
008__[cel][nod][cla]0058__1.wav,[cla][cla]0269__1.wav,[flu][jaz_blu]0454__3.wav,[gac][cla]0591__1.wav,004__[gel][dru][pop_roc]0941__3.wav,[org][jaz_blu]1231__2.wav,[pia][pop_roc]1317__2.wav,[sax][pop_roc]1589__2.wav,[tru][jaz_blu]2063__2.wav,[vio][jaz_blu]2226__3.wav,[voi][pop_roc]2527__3.wav
[cel][pop_roc]0143__3.wav,100__[cla][nod][cla]0224__2.wav,[flu][jaz_blu]0448__1.wav,170__[gac][nod][pop_roc]0628__3.wav,[gel][pop_roc]1025__1.wav,[org][jaz_blu]1051__1.wav,101__[pia][nod][cla]1399__1.wav,[sax][cla]1749__2.wav,[tru][jaz_blu]2057__1.wav,045__[vio][nod][cla]2173__1.wav,225__[voi][nod][cou_fol]2365__2.wav
[cel][cla]0070__1.wav,[cla][jaz_blu]0282__1.wav,[flu][cla]0393__2.wav,045__[gac][nod][jaz_blu]0823__2.wav,098__[gel][dru][pop_roc]0837__2.wav,[org][jaz_blu]1072__3.wav,[pia][cla]1312__2.wav,[sax][pop_roc]1595__1.wav,[tru][cla]2055__2.wav,[vio][pop_roc]2126__1.wav,192__[voi][nod][pop_roc]2469__1.wav
083__[cel][nod][cla]0056__2.wav,004__[cla][nod][cla]0242__2.wav,[flu][jaz_blu]0443__3.wav,[gac][pop_roc]0705__3.wav,253__[gel][dru][pop_roc]0979__1.wav,[org][jaz_blu]1179__3.wav,[pia][cla]1307__1.wav,[sax][jaz_blu]1776__2.wav,001__[tru][nod][jaz_blu]1986__3.wav,[vio][jaz_blu]2235__2.wav,[voi][pop_roc]2353__1.wav
[cel][cla]0075__2.wav,[cla][jaz_blu]0285__1.wav,[flu][pop_roc]0488__3.wav,[gac][cla]0635__3.wav,165__[gel][dru][cou_fol]0745__3.wav,[org][pop_roc]1245__3.wav,[pia][jaz_blu]1318__2.wav,[sax][cla]1658__3.wav,[tru][pop_roc]2043__3.wav,134__[vio][nod][cla]2156__2.wav,243__[voi][dru][pop_roc]2325__2.wav
[cel][pop_roc]0132__2.wav,100__[cla][nod][cla]0224__3.wav,044__[flu][dru][cou_fol]0408__1.wav,[gac][cla]0551__1.wav,192__[gel][dru][cou_fol]0675__3.wav,[org][jaz_blu]1114__1.wav,[pia][jaz_blu]1469__2.wav,[sax][pop_roc]1585__3.wav,[tru][cla]2004__2.wav,[vio][pop_roc]2128__1.wav,[voi][pop_roc]2363__2.wav
088__[cel][nod][cla]0044__3.wav,[cla][jaz_blu]0280__1.wav,[flu][pop_roc]0372__3.wav,[gac][cla]0552__1.wav,[gel][jaz_blu]0869__3.wav,[org][jaz_blu]1094__3.wav,[pia][pop_roc]1377__2.wav,[sax][jaz_blu]1784__3.wav,[tru][pop_roc]2046__2.wav,001__[vio][nod][cou_fol]2194__3.wav,161__[voi][dru][pop_roc]2460__3.wav
[cel][pop_roc]0096__1.wav,[cla][jaz_blu]0285__2.wav,[flu][pop_roc]0470__3.wav,[gac][pop_roc]0692__3.wav,105__[gel][dru][pop_roc]0964__2.wav,154__[org][dru][cou_fol]1116__2.wav,185__[pia][dru][pop_roc]1442__1.wav,094__[sax][dru][jaz_blu]1703__3.wav,205__[tru][---][jaz_blu]1987__3.wav,[vio][cla]2087__3.wav,164__[voi][nod][cou_fol]2433__3.wav
